specificObject	Pythagorean Theorem
 specificObject	Standard Algorithm for Addition
 specificObject	Standard Algorithm for Subtraction
 specificObject	Standard Algorithm for Multiplication
 specificObject	Standard Algorithm for Division
 specificObject	European Algorithm for Subtraction
 specificObject	Lattice Algorithm for Multiplication
 specificObject	Common Factors
 specificObject	Distributive Property
 specificObject	Commutative Property
 specificObject	Associative Property
